# x f(x)
16384 2.39482947758e-12
32768 1.24176343282e-12
49152 7.96770241034e-13
65536 6.40284270048e-13
81920 4.74735814038e-13
98304 3.93082469859e-13
114688 3.30207954025e-13
131072 3.15006164943e-13
147456 2.73216470158e-13
163840 2.5162266148e-13
180224 2.18658485066e-13
196608 2.04489485873e-13
212992 1.86801612376e-13
229376 1.8038122828e-13
245760 1.53484848936e-13
