# x f(x)
1024 0.001
2048 0
4096 0.004
8192 0.011
16384 0.023
32768 0.047
65536 0.102
131072 0.221
262144 0.474
524288 1.012
# x f(x)
1024 0.001
2048 0.001
4096 0.003
8192 0.007
16384 0.015
32768 0.029
65536 0.06
131072 0.119
262144 0.241
524288 0.486
# x f(x)
1024 0.003
2048 0.006
4096 0.009
8192 0.013
16384 0.026
32768 0.053
65536 0.104
131072 0.216
262144 0.438
524288 0.865
